omega,v_ms,ceil_med_a50,ceil_med_a75,ceil_med_a100,ceil_med_a150,ceil_med_a200,ceil_med_a250,ceil_med_a300,ceil_med_a400,real_med_a50,real_med_a75,real_med_a100,real_med_a150,real_med_a200,real_med_a250,real_med_a300,real_med_a400,real_on_a50,real_on_a75,real_on_a100,real_on_a150,real_on_a200,real_on_a250,real_on_a300,real_on_a400
5.0,13,0.39,0.28,0.22,0.17,0.15,0.13,0.12,0.11,1.04,0.91,0.86,0.81,0.79,0.78,0.77,0.76,49,56,61,66,69,71,72,75
10.0,26,0.64,0.45,0.36,0.27,0.23,0.20,0.19,0.17,1.56,1.39,1.29,1.20,1.15,1.14,1.12,1.10,13,17,21,27,31,34,36,39
15.0,39,1.32,0.94,0.74,0.54,0.44,0.38,0.34,0.29,2.79,2.37,2.14,1.93,1.80,1.73,1.68,1.63,0,0,1,4,6,7,8,9
20.0,52,2.09,1.44,1.11,0.79,0.63,0.54,0.48,0.40,4.13,3.42,3.10,2.82,2.63,2.52,2.46,2.37,8,10,11,14,15,15,16,16
25.0,65,3.06,2.07,1.58,1.09,0.86,0.72,0.63,0.52,6.68,5.11,4.55,4.06,3.85,3.69,3.58,3.46,2,3,4,5,6,7,7,7
30.0,79,4.21,2.97,2.31,1.62,1.26,1.05,0.92,0.74,10.91,8.00,6.92,5.99,5.49,5.18,4.96,4.71,2,2,3,3,4,4,4,5
35.0,92,9.10,4.46,3.34,2.36,1.85,1.53,1.32,1.06,16.22,11.41,9.76,8.43,7.90,7.54,7.27,6.88,1,2,2,2,3,3,3,4
40.0,105,13.67,7.12,4.57,3.11,2.42,1.99,1.70,1.35,23.14,17.11,14.24,11.56,10.28,9.56,9.08,8.49,1,1,1,2,3,3,3,3
45.0,118,16.41,13.01,6.38,3.71,2.89,2.39,2.04,1.61,21.60,21.88,18.03,13.79,12.15,11.35,10.82,10.16,1,1,1,2,2,2,2,2
50.0,131,16.26,12.48,8.15,4.53,3.44,2.86,2.46,1.94,20.80,22.13,22.88,17.20,16.10,14.55,13.92,13.03,1,1,1,1,1,2,2,2
60.0,157,18.13,14.21,17.69,7.41,5.66,4.27,3.67,2.90,17.14,21.11,22.01,24.74,22.79,20.20,19.60,17.77,1,1,1,1,1,1,1,1
