light,size,box_deg,omega,latency_ms,det_fps,miss_rate,noise_px,range_m,t_flight_ms,hit_radius_deg,trk_median_deg,on_target_pct,hit_pct,fire_miss_med_deg
day,large@near,1.2000,3,120.0000,20.0000,0.0600,5.0000,14.3219,15.9132,1.2000,0.1330,100.0000,100.0000,0.1668
day,large@near,1.2000,6,120.0000,20.0000,0.0600,5.0000,14.3219,15.9132,1.2000,0.6042,92.8571,100.0000,0.6298
day,large@near,1.2000,10,120.0000,20.0000,0.0600,5.0000,14.3219,15.9132,1.2000,1.3672,40.1190,44.1176,1.5218
day,large@near,1.2000,15,120.0000,20.0000,0.0600,5.0000,14.3219,15.9132,1.2000,3.7247,8.5714,5.8824,3.8887
day,large@near,1.2000,25,120.0000,20.0000,0.0600,5.0000,14.3219,15.9132,1.2000,9.5710,1.9048,5.8824,9.9756
day,med,0.6000,3,120.0000,20.0000,0.0600,5.0000,28.6468,31.8298,0.6000,0.1274,100.0000,100.0000,0.1956
day,med,0.6000,6,120.0000,20.0000,0.0600,5.0000,28.6468,31.8298,0.6000,0.6319,93.2143,44.1176,0.6768
day,med,0.6000,10,120.0000,20.0000,0.0600,5.0000,28.6468,31.8298,0.6000,1.3503,37.5000,20.5882,1.5500
day,med,0.6000,15,120.0000,20.0000,0.0600,5.0000,28.6468,31.8298,0.6000,3.7953,6.3095,2.9412,4.0604
day,med,0.6000,25,120.0000,20.0000,0.0600,5.0000,28.6468,31.8298,0.6000,9.6505,2.0238,0.0000,10.2960
day,small,0.3000,3,120.0000,20.0000,0.0600,5.0000,57.2953,63.6614,0.3000,0.1191,100.0000,94.1176,0.1375
day,small,0.3000,6,120.0000,20.0000,0.0600,5.0000,57.2953,63.6614,0.3000,0.6715,92.9762,26.4706,0.6630
day,small,0.3000,10,120.0000,20.0000,0.0600,5.0000,57.2953,63.6614,0.3000,1.3491,34.2857,8.8235,1.6176
day,small,0.3000,15,120.0000,20.0000,0.0600,5.0000,57.2953,63.6614,0.3000,3.8932,10.1190,0.0000,4.4304
day,small,0.3000,25,120.0000,20.0000,0.0600,5.0000,57.2953,63.6614,0.3000,9.8209,1.4286,0.0000,10.6832
day,tiny@far,0.1500,3,120.0000,20.0000,0.0600,5.0000,114.5913,127.3237,0.1500,0.2212,100.0000,61.7647,0.1209
day,tiny@far,0.1500,6,120.0000,20.0000,0.0600,5.0000,114.5913,127.3237,0.1500,0.9110,62.8571,8.8235,0.8920
day,tiny@far,0.1500,10,120.0000,20.0000,0.0600,5.0000,114.5913,127.3237,0.1500,1.6379,24.2857,2.9412,1.8494
day,tiny@far,0.1500,15,120.0000,20.0000,0.0600,5.0000,114.5913,127.3237,0.1500,4.6246,7.2619,0.0000,5.5666
day,tiny@far,0.1500,25,120.0000,20.0000,0.0600,5.0000,114.5913,127.3237,0.1500,12.1433,0.2381,0.0000,15.2394
dusk,large@near,1.2000,3,120.0000,15.0000,0.1500,9.0000,14.3219,15.9132,1.2000,0.1371,100.0000,100.0000,0.1356
dusk,large@near,1.2000,6,120.0000,15.0000,0.1500,9.0000,14.3219,15.9132,1.2000,0.8731,60.2381,73.5294,0.9695
dusk,large@near,1.2000,10,120.0000,15.0000,0.1500,9.0000,14.3219,15.9132,1.2000,2.0579,28.2143,29.4118,2.1272
dusk,large@near,1.2000,15,120.0000,15.0000,0.1500,9.0000,14.3219,15.9132,1.2000,5.4739,6.0714,0.0000,6.0770
dusk,large@near,1.2000,25,120.0000,15.0000,0.1500,9.0000,14.3219,15.9132,1.2000,15.9508,0.2381,0.0000,16.0971
dusk,med,0.6000,3,120.0000,15.0000,0.1500,9.0000,28.6468,31.8298,0.6000,0.1319,100.0000,100.0000,0.1357
dusk,med,0.6000,6,120.0000,15.0000,0.1500,9.0000,28.6468,31.8298,0.6000,0.9018,58.6905,29.4118,1.0008
dusk,med,0.6000,10,120.0000,15.0000,0.1500,9.0000,28.6468,31.8298,0.6000,2.0988,26.5476,11.7647,2.2482
dusk,med,0.6000,15,120.0000,15.0000,0.1500,9.0000,28.6468,31.8298,0.6000,5.5293,5.1190,0.0000,6.1719
dusk,med,0.6000,25,120.0000,15.0000,0.1500,9.0000,28.6468,31.8298,0.6000,15.9092,0.1190,0.0000,16.5457
dusk,small,0.3000,3,120.0000,15.0000,0.1500,9.0000,57.2953,63.6614,0.3000,0.1457,100.0000,94.1176,0.1460
dusk,small,0.3000,6,120.0000,15.0000,0.1500,9.0000,57.2953,63.6614,0.3000,0.9878,51.4286,11.7647,0.9689
dusk,small,0.3000,10,120.0000,15.0000,0.1500,9.0000,57.2953,63.6614,0.3000,2.0702,22.7381,8.8235,2.3081
dusk,small,0.3000,15,120.0000,15.0000,0.1500,9.0000,57.2953,63.6614,0.3000,5.5804,3.6905,0.0000,6.3781
dusk,small,0.3000,25,120.0000,15.0000,0.1500,9.0000,57.2953,63.6614,0.3000,14.5394,0.8333,0.0000,14.8980
dusk,tiny@far,0.1500,3,120.0000,15.0000,0.1500,9.0000,114.5913,127.3237,0.1500,0.2683,100.0000,61.7647,0.1331
dusk,tiny@far,0.1500,6,120.0000,15.0000,0.1500,9.0000,114.5913,127.3237,0.1500,1.2202,22.9762,5.8824,1.3224
dusk,tiny@far,0.1500,10,120.0000,15.0000,0.1500,9.0000,114.5913,127.3237,0.1500,2.4058,14.5238,0.0000,2.4718
dusk,tiny@far,0.1500,15,120.0000,15.0000,0.1500,9.0000,114.5913,127.3237,0.1500,6.1654,3.4524,0.0000,7.4944
dusk,tiny@far,0.1500,25,120.0000,15.0000,0.1500,9.0000,114.5913,127.3237,0.1500,16.8356,0.0000,0.0000,18.3141
night,large@near,1.2000,3,120.0000,10.0000,0.3500,14.0000,14.3219,15.9132,1.2000,0.2186,97.7381,100.0000,0.2063
night,large@near,1.2000,6,120.0000,10.0000,0.3500,14.0000,14.3219,15.9132,1.2000,1.6584,34.4048,35.2941,1.7215
night,large@near,1.2000,10,120.0000,10.0000,0.3500,14.0000,14.3219,15.9132,1.2000,3.5776,13.8095,11.7647,3.8458
night,large@near,1.2000,15,120.0000,10.0000,0.3500,14.0000,14.3219,15.9132,1.2000,7.4848,2.5000,2.9412,8.2277
night,large@near,1.2000,25,120.0000,10.0000,0.3500,14.0000,14.3219,15.9132,1.2000,23.9444,0.0000,0.0000,23.8964
night,med,0.6000,3,120.0000,10.0000,0.3500,14.0000,28.6468,31.8298,0.6000,0.2406,96.6667,91.1765,0.2214
night,med,0.6000,6,120.0000,10.0000,0.3500,14.0000,28.6468,31.8298,0.6000,1.7034,33.3333,23.5294,1.9336
night,med,0.6000,10,120.0000,10.0000,0.3500,14.0000,28.6468,31.8298,0.6000,3.6163,14.1667,2.9412,3.9482
night,med,0.6000,15,120.0000,10.0000,0.3500,14.0000,28.6468,31.8298,0.6000,7.4680,1.3095,0.0000,8.4723
night,med,0.6000,25,120.0000,10.0000,0.3500,14.0000,28.6468,31.8298,0.6000,24.3618,0.0000,0.0000,23.9602
night,small,0.3000,3,120.0000,10.0000,0.3500,14.0000,57.2953,63.6614,0.3000,0.2706,96.1905,50.0000,0.2733
night,small,0.3000,6,120.0000,10.0000,0.3500,14.0000,57.2953,63.6614,0.3000,1.7819,31.6667,17.6471,1.8905
night,small,0.3000,10,120.0000,10.0000,0.3500,14.0000,57.2953,63.6614,0.3000,3.7290,14.1667,0.0000,4.1150
night,small,0.3000,15,120.0000,10.0000,0.3500,14.0000,57.2953,63.6614,0.3000,7.5901,1.0714,0.0000,9.0764
night,small,0.3000,25,120.0000,10.0000,0.3500,14.0000,57.2953,63.6614,0.3000,24.5548,0.0000,0.0000,24.3597
night,tiny@far,0.1500,3,120.0000,10.0000,0.3500,14.0000,114.5913,127.3237,0.1500,0.4626,95.3571,17.6471,0.3105
night,tiny@far,0.1500,6,120.0000,10.0000,0.3500,14.0000,114.5913,127.3237,0.1500,2.0801,17.5000,0.0000,2.2746
night,tiny@far,0.1500,10,120.0000,10.0000,0.3500,14.0000,114.5913,127.3237,0.1500,4.0067,11.7857,2.9412,4.8318
night,tiny@far,0.1500,15,120.0000,10.0000,0.3500,14.0000,114.5913,127.3237,0.1500,8.5713,1.1905,0.0000,10.6139
night,tiny@far,0.1500,25,120.0000,10.0000,0.3500,14.0000,114.5913,127.3237,0.1500,19.2805,0.0000,0.0000,21.5417
