omega,latency_ms,det_fps,noise_px,miss_rate,median_deg,p90_deg,max_deg,on_target_pct,mean_px
5,50,15.0,8.0,0.2,0.8023,1.3331,1.5233,60.67,71.56
5,100,15.0,8.0,0.2,0.9719,1.5931,1.7479,52.33,84.93
5,150,15.0,8.0,0.2,1.1639,1.8826,2.0212,42.33,100.62
5,200,15.0,8.0,0.2,1.3297,2.1078,2.2328,34.33,114.32
5,300,15.0,8.0,0.2,1.6852,2.5938,2.7102,23.00,144.59
8,50,15.0,8.0,0.2,1.2551,2.7475,2.9296,37.67,123.45
8,100,15.0,8.0,0.2,1.5368,2.9655,3.2365,32.33,139.40
8,150,15.0,8.0,0.2,1.7384,3.1346,3.3824,28.00,153.06
8,200,15.0,8.0,0.2,1.9859,3.3601,3.6485,24.67,170.08
8,300,15.0,8.0,0.2,2.4458,3.8100,4.2245,20.00,201.81
10,50,15.0,8.0,0.2,1.9883,3.9206,4.1563,21.67,200.54
10,100,15.0,8.0,0.2,2.2731,4.3560,4.6100,17.00,224.07
10,150,15.0,8.0,0.2,2.6039,4.7725,5.0155,14.33,245.25
10,200,15.0,8.0,0.2,2.9836,5.2456,5.4808,12.33,269.14
10,300,15.0,8.0,0.2,3.6763,6.1057,6.4198,10.33,315.01
12,50,15.0,8.0,0.2,3.4913,5.0564,5.4991,17.33,270.42
12,100,15.0,8.0,0.2,3.9140,5.5833,6.0487,14.00,303.83
12,150,15.0,8.0,0.2,4.4887,6.1755,6.5943,12.33,336.77
12,200,15.0,8.0,0.2,4.7668,6.7281,7.1227,10.33,367.39
12,300,15.0,8.0,0.2,5.1364,7.8906,8.2789,8.00,430.24
15,50,15.0,8.0,0.2,3.4892,6.8139,7.3928,18.67,320.60
15,100,15.0,8.0,0.2,3.8496,7.4348,8.1991,14.33,360.56
15,150,15.0,8.0,0.2,4.6162,8.1765,8.9525,11.00,409.39
15,200,15.0,8.0,0.2,5.0961,8.9280,9.6803,7.33,451.14
15,300,15.0,8.0,0.2,5.8267,10.2640,11.1159,4.67,532.10
20,50,15.0,8.0,0.2,6.2401,10.3744,12.7120,10.00,518.04
20,100,15.0,8.0,0.2,6.9267,11.4658,13.8483,6.33,573.01
20,150,15.0,8.0,0.2,7.2076,12.3106,14.8436,4.67,614.03
20,200,15.0,8.0,0.2,7.6117,13.1769,15.8426,2.67,658.81
20,300,15.0,8.0,0.2,8.5163,14.9718,17.8399,1.33,745.93
25,50,15.0,8.0,0.2,9.5157,14.1611,15.6581,3.67,749.77
25,100,15.0,8.0,0.2,10.6391,15.5396,17.1936,3.67,833.91
25,150,15.0,8.0,0.2,11.6344,16.8035,18.7088,2.67,915.03
25,200,15.0,8.0,0.2,12.5413,18.0182,19.9268,1.67,980.90
25,300,15.0,8.0,0.2,14.6167,34.7730,42.3497,0.00,1060.25
30,50,15.0,8.0,0.2,13.5025,45.7757,47.0988,0.00,948.03
30,100,15.0,8.0,0.2,15.0375,45.5520,46.8825,1.00,1002.30
30,150,15.0,8.0,0.2,16.4362,43.8574,45.1967,1.33,1069.63
30,200,15.0,8.0,0.2,17.6617,44.0501,45.3890,1.00,1125.61
30,300,15.0,8.0,0.2,20.3115,44.6122,45.9500,0.00,1201.83
