omega,noise_px,med_fps5,med_fps10,med_fps15,med_fps30,med_fps60
15.0,0.0,4.90,2.03,1.24,0.73,0.56
15.0,2.0,4.90,2.02,1.25,0.72,0.56
15.0,4.0,4.89,2.02,1.26,0.72,0.57
15.0,8.0,4.89,2.00,1.28,0.73,0.58
15.0,16.0,4.87,1.98,1.31,0.77,0.64
20.0,0.0,6.63,2.78,1.67,0.99,0.78
20.0,2.0,6.63,2.77,1.68,0.99,0.79
20.0,4.0,6.62,2.75,1.68,1.00,0.80
20.0,8.0,6.61,2.74,1.68,1.02,0.81
20.0,16.0,6.59,2.73,1.69,1.08,0.86
30.0,0.0,10.62,5.61,3.56,1.91,1.49
30.0,2.0,10.62,5.61,3.56,1.91,1.49
30.0,4.0,10.63,5.60,3.56,1.92,1.50
30.0,8.0,10.63,5.59,3.56,1.92,1.51
30.0,16.0,10.63,5.56,3.55,1.93,1.53
